Date, Weekday, proposedLT, actualLT
2024-04-29,Monday,11:31,NA
2024-04-30,Tuesday,11:34,11:39
2024-05-01,Wednesday,11:33,NA
2024-05-02,Thursday,11:31,NA
2024-05-03,Friday,11:35,NA
2024-05-06,Monday,11:32,NA
2024-05-07,Tuesday,GroupMeeting,NA
2024-05-08,Wednesday,11:33,NA
2024-05-09,Thursday,11:34,NA
2024-05-10,Friday,11:35,NA
2024-05-13,Monday,11:33,NA
2024-05-14,Tuesday,11:33,NA
2024-05-15,Wednesday,11:33,NA
2024-05-16,Thursday,11:34,NA
2024-05-17,Friday,11:33,NA
2024-05-20,Monday,11:32,NA
2024-05-21,Tuesday,11:31,NA
2024-05-22,Wednesday,11:32,NA
2024-05-23,Thursday,11:33,NA
2024-05-24,Friday,11:32,NA
2024-05-27,Monday,11:33,11:38
2024-05-28,Tuesday,GroupMeeting,NA
2024-05-29,Wednesday,11:31,NA
2024-05-30,Thursday,11:31,NA
2024-05-31,Friday,11:34,NA
2024-06-03,Monday,11:32,NA
2024-06-04,Tuesday,11:34,NA
2024-06-05,Wednesday,11:33,NA
2024-06-06,Thursday,11:31,NA
2024-06-07,Friday,11:31,NA
2024-06-10,Monday,11:33,NA
2024-06-11,Tuesday,11:30 (but hurry up!),NA
2024-06-12,Wednesday,11:33,NA
2024-06-13,Thursday,11:33,NA
2024-06-14,Friday,11:32,NA
2024-06-17,Monday,11:32,NA
2024-06-18,Tuesday,11:34,NA
2024-06-19,Wednesday,11:32,NA
2024-06-20,Thursday,11:31,NA
2024-06-21,Friday,11:32,NA
2024-06-24,Monday,11:33,NA
2024-06-25,Tuesday,11:32,NA
2024-06-26,Wednesday,11:32,NA
2024-06-27,Thursday,11:33,NA
2024-06-28,Friday,11:31,NA
2024-07-01,Monday,11:32,NA
2024-07-02,Tuesday,11:30 (but hurry up!),NA
2024-07-03,Wednesday,11:32,NA
2024-07-04,Thursday,11:31,NA
2024-07-05,Friday,11:34,NA
2024-07-08,Monday,11:32,NA
2024-07-09,Tuesday,11:34,NA
2024-07-10,Wednesday,11:34,NA
2024-07-11,Thursday,11:35,NA
2024-07-12,Friday,11:31,NA
2024-07-13,Saturday,Weekend,NA
2024-07-15,Monday,11:33,NA
2024-07-16,Tuesday,11:30 (but hurry up!),NA
2024-07-17,Wednesday,11:32,NA
2024-07-18,Thursday,11:33,NA
2024-07-19,Friday,11:35,NA
2024-07-22,Monday,11:35,NA
2024-07-23,Tuesday,11:31,NA
2024-07-24,Wednesday,11:32,NA
2024-07-25,Thursday,11:31,NA
2024-07-26,Friday,11:33,NA
2024-07-29,Monday,11:35,NA
2024-07-30,Tuesday,11:30 (but hurry up!),NA
2024-07-31,Wednesday,11:34,NA
2024-08-01,Thursday,11:31,NA
2024-08-02,Friday,11:33,NA
2024-08-05,Monday,11:31,NA
2024-08-06,Tuesday,11:33,NA
2024-08-07,Wednesday,11:31,NA
2024-08-08,Thursday,11:35,NA
2024-08-09,Friday,11:33,NA
2024-08-12,Monday,11:33,NA
2024-08-13,Tuesday,11:34,NA
2024-08-14,Wednesday,11:32,NA
2024-08-15,Thursday,11:32,NA
2024-08-16,Friday,11:31,NA
2024-08-19,Monday,11:35,NA
2024-08-20,Tuesday,11:33,NA
2024-08-21,Wednesday,11:34,NA
2024-08-22,Thursday,11:32,NA
2024-08-23,Friday,11:31,NA
2024-08-25,Sunday,Weekend,NA
2024-08-26,Monday,11:33,NA
2024-08-27,Tuesday,11:31,NA
2024-08-28,Wednesday,11:33,NA
2024-08-29,Thursday,11:33,NA
2024-08-30,Friday,11:33,NA
2024-09-02,Monday,11:35,NA
2024-09-03,Tuesday,11:32,NA
2024-09-04,Wednesday,11:33,NA
2024-09-05,Thursday,11:34,NA
2024-09-06,Friday,11:35,NA
2024-09-09,Monday,11:33,NA
2024-09-10,Tuesday,11:30 (but hurry up!),NA
2024-09-11,Wednesday,11:31,NA
2024-09-12,Thursday,11:31,NA
2024-09-13,Friday,11:33,NA
2024-09-16,Monday,11:35,NA
2024-09-17,Tuesday,11:35,NA
2024-09-18,Wednesday,11:33,NA
2024-09-19,Thursday,11:31,NA
2024-09-20,Friday,11:31,NA
2024-09-22,Sunday,Weekend,NA
2024-09-23,Monday,11:34,NA
2024-09-24,Tuesday,11:32,NA
2024-09-25,Wednesday,11:31,NA
2024-09-26,Thursday,11:33,NA
2024-09-27,Friday,11:31,NA
2024-10-15,Tuesday,11:31,NA
2024-10-20,Sunday,Weekend,NA
2024-10-21,Monday,11:33,NA
2024-10-22,Tuesday,11:33,NA
2024-10-23,Wednesday,11:32,NA
2024-10-24,Thursday,11:33,NA
2024-10-25,Friday,11:32,NA
2024-10-28,Monday,11:32,NA
2024-10-29,Tuesday,11:30 (but hurry up!),NA
2024-10-30,Wednesday,11:32,NA
2024-10-31,Thursday,11:35,NA
2024-11-01,Friday,11:35,NA
2024-11-02,Saturday,Weekend,NA
2024-11-04,Monday,11:34,NA
2024-11-05,Tuesday,11:32,NA
2024-11-06,Wednesday,11:31,NA
2024-11-07,Thursday,11:31,NA
2024-11-08,Friday,11:34,NA
2024-11-10,Sunday,Weekend,NA
2024-11-11,Monday,11:32,NA
2024-11-12,Tuesday,11:32,NA
2024-11-13,Wednesday,11:31,NA
2024-11-14,Thursday,11:34,NA
2024-11-15,Friday,11:32,NA
2024-11-18,Monday,11:31,NA
2024-11-19,Tuesday,11:32,NA
2024-11-20,Wednesday,11:35,NA
2024-11-21,Thursday,11:31,NA
2024-11-22,Friday,11:32,NA
2024-11-25,Monday,11:33,NA
2024-11-26,Tuesday,11:30 (but hurry up!),NA
2024-11-27,Wednesday,11:32,NA
2024-11-28,Thursday,11:35,NA
2024-11-29,Friday,11:34,NA
2024-12-02,Monday,11:32,NA
2024-12-03,Tuesday,11:31,NA
2024-12-04,Wednesday,11:31,NA
2024-12-05,Thursday,11:34,NA
2024-12-06,Friday,11:35,NA
2024-12-08,Sunday,Weekend,NA
2024-12-09,Monday,11:34,NA
2024-12-10,Tuesday,11:33,NA
2024-12-11,Wednesday,11:33,NA
2024-12-12,Thursday,11:31,NA
2024-12-13,Friday,11:32,NA
2024-12-16,Monday,11:35,NA
2024-12-17,Tuesday,11:30 (but hurry up!),NA
2024-12-18,Wednesday,11:32,NA
2024-12-19,Thursday,11:31,NA
2024-12-20,Friday,11:33,NA
2024-12-22,Sunday,Weekend,NA
2024-12-23,Monday,11:31,NA
2024-12-24,Tuesday,11:35,NA
2024-12-25,Wednesday,11:32,NA
2024-12-26,Thursday,11:35,NA
2024-12-27,Friday,11:33,NA
2024-12-30,Monday,11:33,NA
2024-12-31,Tuesday,11:30 (but hurry up!),NA
2025-01-01,Wednesday,11:34,NA
2025-01-02,Thursday,11:34,NA
2025-01-03,Friday,11:32,NA
2025-01-06,Monday,11:32,NA
2025-01-07,Tuesday,11:32,NA
2025-01-08,Wednesday,11:33,NA
2025-01-09,Thursday,11:33,NA
2025-01-10,Friday,11:35,NA
2025-01-13,Monday,11:35,NA
2025-01-14,Tuesday,11:30 (but hurry up!),NA
2025-01-15,Wednesday,11:34,NA
2025-01-16,Thursday,11:33,NA
2025-01-17,Friday,11:34,NA
2025-01-20,Monday,11:33,NA
2025-01-21,Tuesday,11:34,NA
2025-01-22,Wednesday,11:33,NA
2025-01-23,Thursday,11:32,NA
2025-01-24,Friday,11:33,NA
2025-01-27,Monday,11:32,NA
2025-01-28,Tuesday,11:30 (but hurry up!),NA
2025-01-29,Wednesday,11:31,NA
2025-01-30,Thursday,11:34,NA
2025-01-31,Friday,11:34,NA
2025-02-03,Monday,11:31,NA
2025-02-04,Tuesday,11:34,NA
2025-02-05,Wednesday,11:33,NA
2025-02-06,Thursday,11:34,NA
2025-02-07,Friday,11:34,NA
2025-02-10,Monday,11:34,NA
2025-02-11,Tuesday,11:30 (but hurry up!),NA
2025-02-12,Wednesday,11:34,NA
2025-02-13,Thursday,11:35,NA
2025-02-14,Friday,11:35,NA
2025-02-15,Saturday,Weekend,NA
2025-02-17,Monday,11:33,NA
2025-02-18,Tuesday,11:31,NA
2025-02-19,Wednesday,11:31,NA
2025-02-20,Thursday,11:33,NA
2025-02-21,Friday,11:31,NA
2025-02-24,Monday,11:31,NA
2025-02-25,Tuesday,11:30 (but hurry up!),NA
2025-02-26,Wednesday,11:34,NA
2025-02-27,Thursday,11:33,NA
2025-02-28,Friday,11:35,NA
2025-03-03,Monday,11:32,NA
2025-03-04,Tuesday,11:35,NA
2025-03-05,Wednesday,11:32,NA
2025-03-06,Thursday,11:34,NA
2025-03-07,Friday,11:32,NA
2025-03-10,Monday,11:31,NA
2025-03-11,Tuesday,11:30 (but hurry up!),NA
2025-03-12,Wednesday,11:34,NA
2025-03-13,Thursday,11:35,NA
2025-03-14,Friday,11:32,NA
2025-03-17,Monday,11:35,NA
2025-03-18,Tuesday,11:33,NA
2025-03-19,Wednesday,11:33,NA
2025-03-20,Thursday,11:32,NA
2025-03-21,Friday,11:35,NA
2025-03-24,Monday,11:32,NA
2025-03-25,Tuesday,11:30 (but hurry up!),NA
2025-03-26,Wednesday,11:35,NA
2025-03-27,Thursday,11:33,NA
2025-03-28,Friday,11:33,21:01
2025-03-31,Monday,11:35,NA
2025-04-01,Tuesday,11:31,NA
2025-04-02,Wednesday,11:33,NA
2025-04-03,Thursday,11:31,NA
2025-04-04,Friday,11:35,NA
2025-04-07,Monday,11:32,NA
2025-04-08,Tuesday,11:30 (but hurry up!),NA
2025-04-09,Wednesday,11:31,NA
2025-04-10,Thursday,11:35,NA
2025-04-11,Friday,11:33,NA
2025-04-14,Monday,11:31,NA
2025-04-15,Tuesday,11:31,NA
2025-04-16,Wednesday,11:35,NA
2025-04-17,Thursday,11:33,NA
2025-04-18,Friday,11:35,NA
2025-04-21,Monday,11:32,NA
2025-04-22,Tuesday,11:30 (but hurry up!),NA
2025-04-23,Wednesday,11:32,NA
2025-04-24,Thursday,11:33,NA
2025-04-25,Friday,11:35,NA
2025-04-28,Monday,11:35,NA
2025-04-29,Tuesday,11:34,NA
2025-04-30,Wednesday,11:33,NA
2025-05-01,Thursday,11:31,NA
2025-05-02,Friday,11:33,NA
2025-05-05,Monday,11:31,NA
2025-05-06,Tuesday,11:30 (but hurry up!),NA
2025-05-07,Wednesday,11:32,NA
2025-05-08,Thursday,11:33,NA
2025-05-09,Friday,11:32,NA
2025-05-12,Monday,11:34,NA
2025-05-13,Tuesday,11:32,NA
2025-05-14,Wednesday,11:32,NA
2025-05-15,Thursday,11:31,NA
2025-05-16,Friday,11:34,NA
2025-05-19,Monday,11:34,NA
2025-05-20,Tuesday,11:30 (but hurry up!),NA
2025-05-21,Wednesday,11:33,NA
2025-05-22,Thursday,11:34,NA
2025-05-23,Friday,11:31,NA
2025-05-26,Monday,11:33,NA
2025-05-27,Tuesday,11:35,NA
2025-05-28,Wednesday,11:34,NA
2025-05-29,Thursday,11:31,NA
2025-05-30,Friday,11:31,NA
2025-05-31,Saturday,Weekend,NA
2025-06-02,Monday,11:34,NA
2025-06-03,Tuesday,11:30 (but hurry up!),NA
2025-06-04,Wednesday,11:31,NA
2025-06-05,Thursday,11:33,NA
2025-06-06,Friday,11:35,NA
2025-06-09,Monday,11:35,NA
2025-06-10,Tuesday,11:34,NA
2025-06-11,Wednesday,11:31,NA
2025-06-12,Thursday,11:33,NA
2025-06-13,Friday,11:35,NA
2025-06-16,Monday,11:32,NA
2025-06-17,Tuesday,11:30 (but hurry up!),NA
2025-06-18,Wednesday,11:33,NA
2025-06-19,Thursday,11:31,NA
2025-06-20,Friday,11:31,NA
2025-06-23,Monday,11:35,NA
2025-06-24,Tuesday,11:34,NA
2025-06-25,Wednesday,11:31,NA
2025-06-26,Thursday,11:32,NA
2025-06-27,Friday,11:31,NA
2025-06-28,Saturday,Weekend,NA
2025-06-30,Monday,11:32,NA
2025-07-01,Tuesday,11:30 (but hurry up!),NA
2025-07-02,Wednesday,11:32,NA
2025-07-03,Thursday,11:31,NA
2025-07-04,Friday,11:34,NA
2025-07-07,Monday,11:34,NA
2025-07-08,Tuesday,11:31,NA
2025-07-09,Wednesday,11:35,NA
2025-07-10,Thursday,11:32,NA
2025-07-11,Friday,11:32,NA
2025-07-14,Monday,11:34,NA
2025-07-15,Tuesday,11:30 (but hurry up!),NA
2025-07-16,Wednesday,11:33,18:43
2025-07-17,Thursday,11:34,NA
2025-07-18,Friday,11:35,NA
2025-07-21,Monday,11:33,NA
2025-07-22,Tuesday,11:31,NA
2025-07-23,Wednesday,11:32,NA
2025-07-24,Thursday,11:35,NA
2025-07-25,Friday,11:32,NA
2025-07-28,Monday,11:32,NA
2025-07-29,Tuesday,11:30 (but hurry up!),NA
2025-07-30,Wednesday,11:35,NA
2025-07-31,Thursday,11:35,NA
2025-08-01,Friday,11:33,NA
2025-08-04,Monday,11:31,NA
2025-08-05,Tuesday,11:35,NA
2025-08-06,Wednesday,11:35,NA
2025-08-07,Thursday,11:32,NA
2025-08-08,Friday,11:33,NA
2025-08-11,Monday,11:35,NA
2025-08-12,Tuesday,11:30 (but hurry up!),NA
2025-08-13,Wednesday,11:33,NA
2025-08-14,Thursday,11:33,NA
2025-08-15,Friday,11:35,NA
2025-08-18,Monday,11:31,NA
2025-08-19,Tuesday,11:35,NA
2025-08-20,Wednesday,11:31,NA
2025-08-21,Thursday,11:33,NA
2025-08-22,Friday,11:35,NA
2025-08-25,Monday,11:34,NA
2025-08-26,Tuesday,11:30 (but hurry up!),NA
2025-08-27,Wednesday,11:31,NA
2025-08-28,Thursday,11:33,NA
2025-08-29,Friday,11:33,NA
2025-09-01,Monday,11:33,NA
2025-09-02,Tuesday,11:33,NA
2025-09-03,Wednesday,11:35,NA
2025-09-04,Thursday,11:35,NA
2025-09-05,Friday,11:32,NA
2025-09-08,Monday,11:34,NA
2025-09-09,Tuesday,11:30 (but hurry up!),NA
2025-09-10,Wednesday,11:34,NA
2025-09-11,Thursday,11:34,NA
2025-09-12,Friday,11:35,NA
2025-09-15,Monday,11:33,NA
2025-09-16,Tuesday,11:33,NA
2025-09-17,Wednesday,11:33,NA
2025-09-18,Thursday,11:33,NA
2025-09-19,Friday,11:35,NA
2025-09-22,Monday,11:31,NA
2025-09-23,Tuesday,11:30 (but hurry up!),NA
2025-09-24,Wednesday,11:31,NA
